OverallRating,Comments,FeedbackCategory,Subcategory
Satisfied,"When used the promotion ""READS"" to get a free book for an order over $25, I was unable to search for titles. For example, I would type in ""pete"" for pete the cat books, however the search revealed no results. However when I deleted the title and just selected ""kindergarten"" grade, pete the cat books appeared as possible options.",,
Very Disappointed,"This has nothing to do with the website, but I am very disheartened that you charging shipping for student orders! I really don't think you should charge for teacher orders either.  I promote your books (for free I might add) and now I have a student that can not order because you are charging shipping for his books because his total is under 25.00. We all know it is getting harder and harder to get kids/parents to even order anymore and now this makes it even harder for those who do! I work in a small district and I have few kids that even order anymore, so getting to the 25.00 is hard. What if I had a student who can only afford a small amount and they were ordering all the books they could in the $1, $2, or $5 section? This is very sad to say the least and I am probably going to do away with even offering the orders and promoting them in my classroom. My student is no longer able to order the two books she wants because she can not cover the shipping charges. I am very disappointed!",,
Very Satisfied,Great!,,
Very Satisfied,Thanks for the great book selection!,,
Satisfied,It is annoying to me that the site works best in landscape over portrait on my iPad. I usually forget to turn it.,,
Very Satisfied,The site has been great. I'm just waiting on some more info and then I will place my order.,,
Satisfied,"It was difficult to find a ""free book"".  The one I chose for $5, the website said was not eligible.  Don't know why it wasn't.",,
Satisfied,It wouldn't let me enter my $5 free book.,,
Disappointed,"I have been a member of scholastic for over 30 years. The quality of reading of your product has gone down, in my opinion. There are not enough classic stories, too many graphic novels, and silly stories (Dog man, etc..) and these kind of books do not make my students smarter readers. I know these are the type of books that sell, but , in my opinion, they lower Scholastic's standards.",,
Very Satisfied,Everything worked very smoothly!,,
Neutral,"Site was a little difficult to understand, originally did order through parent site, took me a little while to figure out I needed to check out on book club site so my child's teacher would get credit, would be easier if I could enter her classroom code on profile and it was automatically entered when I check out instead of trying to figure out which site I need to enter my order on. Very confusing.",,
Disappointed,"I simply wanted to change the number of fliers I'm receiving since I have a larger class this year. The person I did chat with told me I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers, and select catalogs. There I find I need to order specific catalogs for a one-time order. I've been teaching 15 years and have placed scholastic orders each of those years. This didn't used to be so difficult.",,
Very Disappointed,I couldnt use the READS coupon code.,,
Satisfied,"I am a retired teacher and had an account of my own for my classroom. I now want to purchase books for my grandson's teacher but when I enter my email address, I am taken to my teacher account, and the site won't let me create a parent account. I don't want to purchase unless the teacher gets credit.",,
Very Satisfied,I will place my personal order when students have placed their orders.,,
Satisfied,"The search functions are a little antiquated, but I was able to complete, thanks!",,
Satisfied,We used to have a warehouse right in our community.  When it shut down last year the delay on getting books WAS HUGE!  I decided not to order last year.  I am going to try again and hope that parents get their orders sooner than later.,,
Satisfied,I love the holiday books,,
Very Satisfied,We love when the scholastic flyers come home from school!,,
Very Satisfied,"The updates you are constantly making to the website are amazing and much appreciated. Each time I order, it is so much better. Thank you!",,
Satisfied,I have asked for a 4th grade flyer but have not received one- most of my parents need the paper flyer,,
Very Satisfied,Excellent!  Much easier to use than the old format of the site.,,
Satisfied,"We really wanted to purchase individual titles of the Owl Diaries, but they were not available.",,
Satisfied,"i wasn't able to find a way to search by topic, like self regulation.  I just had to hope it came up.  You should have a tab for kids on spectrum.  Maybe you do but it wasn't obvious.",,
Neutral,I remember being a kid and loving scholastic book days when I got to buy books to read! While it's not exactly the same I did have fun going through the flyer with my son and picking out books he thought were interesting!,,
Very Satisfied,Scholastic's website is very user-friendly and I appreciate that!,,
Satisfied,Where do I mail my payment,,
Neutral,"The website is sending my 4th grader's books to my 1st grader's teacher even though I signed them in and ordered separately using their own classroom codes.  It's not a huge deal for us because my kids will both get their books either way, but I really want each teacher to get the points for the right kid.  I'd also like my 4th grader to get his own order, because it's more fun to have them delivered to you in class instead of getting them later from your little brother.  Really  frustrating!",,
Very Satisfied,"Some trouble logging in - didn't accept password, but overall easier than usual.  As I've said before your site doesn't do well with Mozilla and other browsers that focus on privacy which is annoying as I have to use chrome or edge - whichever will work that day.  Also, my biggest pain is trying to enter the due dates.  Often the Drop-down calendar will not register my date.  It would be preferable to have an option to type in a date.  Thank you - hoping things are running more smoothly this year.",,
Very Disappointed,It will not let me order books. Nothing shows in my cart,,
Neutral,I had to reload the page 3 times as a weird box kept coming up. I need to have flyers sent to me as I never got any and would like to make a class order. I can't find how to have flyers sent on your website.,,
Very Disappointed,"I hate having to create accounts for every website out there.  Why can't you just let us enter our information and make a purchase as a ""guest""?  I hate this so much that I have actually not made purchases from you in the past because of it, and I am undecided now if I'll make a purchase tonight.  I came to this website tonight with full intention of placing an order, but now I might not.",,
Very Satisfied,The Scholastic Book Clubs website is very easy to follow.,,
Satisfied,"It is difficult to get to the correct page---the clubs.scholastic is not easy to find just by Googling ""Scholastic"".  That would be my only recommendation is to make the clubs easier to navigate to from the main page.",,
Neutral,Trying to apply discounts.,,
Very Satisfied,"if possible filters allowing me too look at subjects per age.  For example... fears/anxiety & age  options with 'where is my monster'.  Also maybe select value packs as alternate purchases when you select a particular book.   I found the above example after searching examples, then put it directly in to see if you had the book as an option.  After I completed my order I discovered there was a value pack with another similar book.",,
Very Satisfied,Very easy to navigate and user friendly.,,
Neutral,What my child wanted was out of stock,,
Very Satisfied,I like how the site keeps track of earned rewards so I don't have to figure it out on my own with codes etc.,,
Satisfied,When searching for books to add the site often lags.,,
Very Satisfied,fast and friendly to use,,
Very Satisfied,I chatted with an agent and they fixed it. I had an old account that they ended up merging with my new account.,,
Satisfied,"Some item numbers didn’t match the flyers, but overall, easy to shop and place my order!",,
Very Satisfied,Christine was a helpful person online earlier this evening.,,
Satisfied,I would like to have the option to ship my order/books to my home address.,,
Satisfied,Not enough non-fiction or STEM related books selections,,
Very Disappointed,"The code says expired. I did what the person in chat said to do and it still doesn't work. I don't think I will be ordering, at least online, again any time soon",,
Very Satisfied,Great selections of books for my little reader.,,
Very Satisfied,I appreciate the code for a free book and free shipping!  Thank you!,,
Very Satisfied,The READS coupon didn’t work :(,,
Neutral,Always have a little trouble submitting my free book selection,,
Very Disappointed,website is not formulated to be used with a cellphone. wouldnt even let me submit payment on my cellphone i had to use a desktop computer.,,
Satisfied,I wish that scholastic carried adult books.,,
Neutral,I had trouble figuring out why I was about to pay shipping and why I couldn't find some books my daughter wanted.,,
Very Satisfied,I love how easy it is to navigate.  Thank you!,,
Neutral,"I put items in my cart, but the site would not let me log in so I could buy the books I wanted to purchase. I had an account last year and my grandson s now in first grade, so i need to chanfge classrooms, which i did, but then I could not log in. I tried to create a new account, but could not do that either. I am not impressed with your website a the moment.",,
Neutral,I went to scholastic.com and it was not intuitive and difficult to find how to submit an order through my kid's teacher and use the fliers,,
Very Satisfied,I enjoy ordering books from Scholastic.  Great deals.,,
Very Satisfied,I love the books and that I can easily order books for my son without sending money into school with him.,,
Very Satisfied,Great website! keeps kids entertained all night sitting at the dinner table from 4:30-9:00 there bed time.,,
Very Satisfied,Got great suggestions and searching for specific books was easy.,,
Very Satisfied,Smooth ordering experience.  Thank you..,,
Satisfied,n/a,,
Satisfied,The scroll side bar is so skinny to move.  I hope shipping timeline has improved to pre pandemic schedule.,,
Neutral,the number are not the same as in the flyer.,,
Neutral,Password reset,,
Satisfied,"not hard, but not very easy finding the right flyer to order the books",,
Neutral,The phone number to call in said it could not be completed at this time. I sent an email. I will see what happens.,,
Disappointed,"Why are you selling books that normalize harsh parenting methods that humiliate and shame children?  While browsing, I saw a book called ""David Gets in Trouble"" that showed a child on the cover sitting in a corner.  The 1950s called and they would like their degrading treatment of children back.  Additionally, I saw you are selling the ""How Do Dinosaurs..."" series which also normalizes emotionally aggressive relationships between parents and children.  Families have problems, yes.  Please do not normalize parental mistreatment of children and CONDITIONAL (rather than unconditional) love.  Please sell books that depict healthy methods of parents guiding their children morally and ethically.  Children being mistreated by their parents don't always realize that what their parents are doing is not healthy.  Normalizing harsh parenting through literature does not help.  It can take years for children to realize that their parents mistreated them and they should not repeat the same patterns",,
Very Satisfied,"I've been a big fan of Scholastic Book Clubs for many years and appreciate the work the company does and how they support literacy not only at my center, but across the country.",,
Satisfied,I tried to pull up the2nd & 4th grade flyers to view. they never came up even after I clicked the help if  having trouble,,
Very Satisfied,Love scholastic!! Kids need to hold books.,,
Very Disappointed,I was searching for the book order that I made for my son early in the year (2020 - 2021) . I have never received this order or an explanation as to why not. I will make no future purchases. When I searched for my order after logging in. it said I had no orders. What the heck happened!,,
Very Satisfied,Very easy to use once I entered the age of my child I was able to see a great selection,,
Satisfied,Would like to order individual books from the black is beautiful 5 pack,,
Very Satisfied,The site was easy to use and I placed an order with no issues.,,
Satisfied,I am still a bit hesitant after last year's first order took over two months.  I shared with families this month but if orders do not come in within 2 weeks we will not send home to parents again.,,
Very Satisfied,The digital flyer wouldn't always come up,,
Satisfied,I am just browsing to see what is new and available.  I am the grandparent and will have the books shipped.,,
Satisfied,"Not really a difficulty, but I would have liked to be able to specify ""grandparent"" rather than parent.",,
Satisfied,"Overall, a good experience however the prices are a little high!",,
Very Satisfied,Very easy,,
Satisfied,"I was looking for a way to request paper, book order catalogs to hand out to my students.",,
Satisfied,It would be great if you could search by lexile/reading level.  Or even if you could easily access flyers from other grades as my child is reading above her grade level.,,
Satisfied,"It's not clear when we will receive the book? With online orders, I like to know when to check back in in case something gets lost.",,
Very Satisfied,"I love scholastic book clubs! The user interface is easy to use and I LOVE getting points with every order, it makes me able to supply my home and classroom with wonderful books to read.",,
Satisfied,It was hard to get to the flyers but overall it was a good visit!,,
Satisfied,"Not difficulties per se, but the website doesn't always feel intuitive for figuring out how to do what I need as a teacher. This is only my second year, so maybe that's why.",,
Neutral,"on 9-9 I submitted orders for Emery and Alcie.  Alcies ordered was delivered today, But   Emerys was not and I do not see it on the site.",,
Very Satisfied,I loved that we got a free book from the $5 page!,,
Satisfied,I was interested in many of the book packs but already own 1 or 2 in most of them and wish the titles that you were interested in were available to purchase on their own.,,
Very Satisfied,Looking for classroom books and books for my family. I will submit class order tomorrow.,,
Neutral,Last year I stopped ordering because it was a mess.  If it goes back to the previous year I would love to use it again.  Plus all four kindergarten teachers had a bill for the whole school year and our PTO had paid it.  I gave you scores based on last year.,,
Disappointed,The process of entering my students new teacher took more time than it should have and finally someone had to do it that works for scholastic.  It should be a simple process to change teachers at the beginning of the new year.,,
Very Satisfied,My customer number is not the same number I've used for the last 35 years??????,,
Very Satisfied,Site is easy yo navigate,,
Very Satisfied,"I was able to find what I needed. The item numbers were very helpful with that. It was nice to get a free book with code--READS.     I think I get too many emails from the scholastic book club. In all honestly, it's the fliers that I look at before getting books. Not that I'd never want emails, but I just get too many emails, so I reach a point where I just start unsubscribing from groups.",,
Very Satisfied,I will be placing an order tomorrow and I wanted to look at any changes to the site.,,
Neutral,I wish the $1 books would come back. Some teachers can not afford to buy $75 worth of book before we can access the $1 books. Its hard enough to afford a $1 book for each of my students each month. I hate that I haven't been able to provide my students with more book this last year like I did my first year.,,
Very Satisfied,Me encanta super,,
Very Satisfied,Absolutely love Scholastic and the experience of it. So excited my kids get to be a part of this now too.,,
Satisfied,I am waiting to see if I get any more orders.,,
Satisfied,Tracking #’s would be appreciated,,
Very Satisfied,Very easy and connected to my daughters class with the code right away.,,
Satisfied,I need a tax exempt button,,
Satisfied,"It's my first time on the site and I really enjoyed it. The only thing I didn't like was that it did not let me know what the delivery time would look like. Overall, it's a nice and self-explanatory site.",,
Satisfied,I can’t find my class added to my profile yet.,,
Very Satisfied,I didn’t get the promo code to work,,
Very Satisfied,"My confirmation page after my order was complete gave me an error message saying that it took too long to load and needed me to resubmit it, but when I refreshed the page, my order confirmation was there anyway.",,
Very Satisfied,very simple step by step   Thank you :-),,
Satisfied,Diana finally help me get into the sight I needed. Thank you,,
Very Satisfied,Could not find books that I was looking for.      Had problems last year with delivery of books.  Hope it goes better this year.,,
Very Satisfied,"Using the site is simple, which I can appreciate!",,
Very Disappointed,"I ran out of during this visit to the website, but I will be placing my order shortly. :)",,
Neutral,"It was very hard to find the correct place to go. First, I was on the generic ""Scholastic"" website and while I connected to the school, I was not able to connect to my child's teacher. Shipping to the teacher's classroom didn't work. When I tried the chat feature for help, the session timed out and I never got help. I eventually found the correct ""Book Club"" site and entered books straight from the flyer from school.     So overall...tricky to navigate the website.",,
Satisfied,Love getting books for my kids and helping the teacher.,,
Disappointed,Get this woke crap off your site. The more woke stuff there is the less I buy. Shame.,,
Very Satisfied,I love having the opportunity to add to our home library and help out my child's classroom,,
Disappointed,I have now filled out the request for paper flyers twice. Please follow through and send them soon.,,
Very Satisfied,"Biggest challenge was figuring out which books were in a boxed series. I was shopping for the Magic Tree House series and needed a specific ""next"" box set. I couldn't easily distinguish which set was the correct one for me to select. The numbers were not listed in the title of the product.",,
Very Satisfied,"I couldn't remember my password but if I had known the ""requirements"" I would've been able to remember it.  Maybe it would be helpful to know how many characters the passwords are?",,
Very Disappointed,"The flyer from the teacher, does NOT match on-line.",,
Satisfied,"It can be hard to find books even with the search feature.  For instance I typed in ""Babysitters Club"" and it only offered me the 5 book pack, but I knew there was an individual book available.",,
Very Disappointed,I was searching for the book order that I made for my son early in the year (2020 - 2021) . I have never received this order or an explanation as to why not. I will make no future purchases. When I searched for my order after logging in. it said I had no orders. What the heck happened!,,
Very Disappointed,Unable to get to the Cary to purchase.,,
Satisfied,"It would be nice to be able to easily share a child's wishlist, with easy connection to the teacher's  class code#.",,
Very Disappointed,"After the multiple poor experiences I had last year, I am not participating in book orders in my classroom this year.",,
Neutral,"Had been calling to clarify my order. Still missing a book I ordered back on May 20, 2022.  I did not appreciate that a call back was never made from Scholastic.  I had to log in, call, send a message and finally, took me submitting a chat before I had my questions answered.",,
Very Satisfied,Is there a better way to search for all non-book items that are available to purchase? My middle schooler likes the posters and other items that are usually available during the book fairs. I was unable to locate any of those items during my search.,,
Satisfied,My child's teacher was listed at her former school. I let her know so she can update it.,,
Neutral,"For books that are part of a series, I wish you would say which number it is. As an example, I know my son likes The Bad Guys, but I don't know which numbers you have for sale.",,
Very Satisfied,It sent me straight to the survey before I could order. I will do so now.,,
Very Satisfied,All around great,,
Very Satisfied,Excellent choice of books and great prices.  Thanks for making ordering so easy.,,
Very Satisfied,"Christon was very helpful. I didn't get to tell them because  I clicked something and the chat disappeared from screen, though  I heard a couple extra messages.",,
Very Satisfied,Easy and quick to order!,,
Satisfied,"I think it's great that we can select a child's name when we have multiple children in the Scholastic System. I like that feature in the cart and the ability to add to their wishlist. The struggle that I have with that, is that when earning free books, we may spend $25 on each child, but we would still only receive one free book. It makes it more effective for me to submit two orders so they can each pick their own free book, but I know it's more costly for you.     In addition, the books and series that my children like most were out of stock. That prompted me not to submit an order today. It seems that the books or series that my children want (and within a price range I am willing to spend with each book order) always seem to be out of stock.",,
Satisfied,Site was quick and easy to navigate.,,
Satisfied,the flyers are glitchy,,
Very Satisfied,Site is very easy to navigate. I love that we can create a wish list for next time!,,
Satisfied,Some difficulty finding the location for the classroom code.,,
Very Disappointed,I am frustrated that the last two orders I made were canceled and not by me!  I choose to have our orders come to my home because we are within a high school that does not give us our mail.,,
Satisfied,Not all books are available that are available on the regular website of scholastic,,
Neutral,The site is always so easy to use!,,
Very Satisfied,"I was very happy to have immediate help from ""Ronda"" on the live chat. She was able to find the information I needed in a timely manner and was quite courteous.    I was a little surprised to find that I could not look up the amount in my child's E-wallet without the help of Ronda, I have the tendency to think I've done something, but in fact just thought about doing it and I needed to make absolute sure that my daughter wouldn't be showing up on book fair day, unable to purchase anything with her class.      Other than the ability to check the amount in your child's E-wallet easily, everything else ran smoothly.",,
Satisfied,I had a hard time trying to change my password.,,
Disappointed,"I am unable to find books via searching. I searched for the title  ""Marcus Makes a Movie"" and the author ""Kevin Hart,"" among others and the books in your flyer did not come up. I used to work in a library so I know how to search books. I was able to use the item number, but it's absurd that using the titles of the book does not work. I am very disappointed with how poor your site operates.",,
Neutral,Thank you guys for all you do.,,
Satisfied,Will be placing order later today,,
Satisfied,"It is hard to find the book club site versus the regular scholastic site.  Going forward, I believe I figured it out, but why separate the two so distinctly?  Thanks!",,
Satisfied,Sometimes the digital flyers would not load and I would have to keep refreshing the page. Other than that I am a big Scholastic fan and love ordering books!,,
Neutral,difficult to figure out where to make changes to account.  Site not clear.,,
Neutral,I started ordering under my name and it didn't automatically connect me with my son's teacher. I had to notice the price difference to the flyer and then went into the club section and was able to get the pricing I had for the flyer.,,
Satisfied,I like that I received an email when a family orders books online.,,
Neutral,It wasn't clear that to order online we had to connect to a teacher. We were given a code to use but no instructions so when entering the website it was a bit difficult to navigate.,,
Neutral,"On the main Scholastic page, there should be something to tell you to go to the Book Clubs section if you have a class code.",,
Very Disappointed,"Added items to the general scholastic purchasing site.  however, didn't know this wouldn't link me to the book clubs directly.  book clubs has a lot fewer options.  ended up buying at amazon.",,
Satisfied,"I like being able to see tons and tons of books, but I wish there was an option to search based on price and not by grade or age. I really like the selection of suggested books at the bottom of the page after you click on a book. I feel like there are so many books I am missing and struggle to be able to search appropriately on my phone.",,
Satisfied,Overall good experience.  I felt like the book recommendations were a bit on the young side.,,
Very Satisfied,Opened site and prepared for my children to choose their options. Very likely to come back. I remember being SO excited for Book Fairs and Book Clubs as a kid in school. It was definitely a highlight of elementary and even middle school!,,
Satisfied,none,,
Satisfied,I've struggled for years with the cc payment method on this site. Mostly around saving a cc/adding a new cc.,,
Satisfied,The coupon code for a free book expired before the book order is even due. That’s frustrating!,,
Satisfied,I had to put in my card info a couple of times before it would accept it - kept saying invalid code. I had to enter things in a certain order.,,
Very Satisfied,"Took a long time to load, just closed the page and re-opened it about an hour later and all is good.",,
Satisfied,I wish you could see a photo of the books that are available with the code READS (Because apparently I literally want to judge a book by it's cover??).,,
Very Satisfied,"This was the fastest, EASIEST book order I have ever completed.  I usually have to call you to have somebody WALK ME through the process, but this time--------it was a CHARM!!  Sooooo-keep up the good work!!  (Of having an order form that flows logically!!)",,
Very Satisfied,Flyers take a long time to load,,
Very Satisfied,"very user friendly, fast & efficient",,
Very Satisfied,Anxious to provide opportunities for students to buy books.,,
Satisfied,The $10 to spend right now window was not available and I couldn't complete my order,,
Satisfied,"When a book is out of stock, i should be able to put in on a watchlist or something.",,
Very Satisfied,I appreciate the work taken to make Scholastic great again! Thank you!,,
Satisfied,Please add filters to narrow down search. Grade/Price/theme all on same page.,,
Neutral,"I am not so sure how to enter my students and get flyers to parents. I am going to ask a coworker to help, who has used the site this year.",,
Satisfied,Some of the wording prices were overlapping. I couldn't read what was written in these areas.,,
Satisfied,Looking for graphic novels to try and interest a young boy to read.,,
Very Satisfied,not complete with my order. Did find letters for parents. Love them,,
Very Disappointed,"Page isn't formatted to view on Android mobile. The page is too big for mobile viewing. Can't see all the books when scrolling, it ""skips"" over half of them.",,
Very Disappointed,This website is goddawful. I can’t figure out how to make an order and your tutorial only shows me how to send reminders and links to friends and family. I’ve been here ten minutes and I can’t figure it out. Fix your website. It sucks.,,
