OverallRating,Comments,FeedbackCategory,Subcategory
Satisfied,"I have not ordered anything for 3 yrs.  I was not teaching reading.  I am again now.  So, setting up my acct.   Lost all my Bonus Points.  sad...",,
Neutral,I liked that both children's orders were combined into one billing transaction. However both children should have had the ability to take advantage of the READ free book code. But only one child was able to select a free book.,,
Very Satisfied,Always an excellent experience,,
Very Satisfied,Really appreciate the service you offer children.,,
Very Satisfied,Thank you!!!,,
Neutral,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,,
Very Satisfied,"It's always pretty easy to use.  If you ever make changes I'd suggest they only be slight. It's easy to search, easy to add by code, easy checkout, etc. Totally overhauling the site without keeping that simplicity in place would be a nightmare.",,
Satisfied,I wish the discount books were for teachers who didn't have to spend $75.  It would benefit my class who are limited to ordering books due to budgets!,,
Very Satisfied,Do you still offer free shipping to home?,,
Neutral,website is user friendly and easy to use.  Found what I was looking for and made my purchase. Simple and easy.,,
Neutral,"should be able to place books in ""shopping cart"" directly from the digital flyer. The numbers on the digital flyer are too small to easily read. Should be listed when click on the book.",,
Very Disappointed,"I was going to order some books for my daughter per her preschool's request, as I have done countless times before, as this is for our 5th child.  I wanted to buy some Christian books in addition to secular ones.  When I typed in ""Jesus"" into the search bar, there was not one result.  I typed in ""God.""  Nothing.  If you can't have one book about Jesus, I can't buy from you and I will be sure to let all my friends know.  Interestingly there are results for search words like ""gay"" and ""transgender.""",,
Satisfied,Kept freezing on the flyer's.,,
Satisfied,"I could not print my printable teacher letter - I got a screen with ""bad response"" instead.  I opened it in an incognito window and it worked.",,
Satisfied,n/a,,
Satisfied,Out of stock items should be able to be ordered and then I can be updated when they are available and shipped.  Not telling me to check back later.,,
Very Satisfied,super easy to navigate,,
Satisfied,I logged in today because I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,,
Neutral,"However,  in the drop down menu to select the teacher, the teacher's name was not listed. It would be great if we could type in the name when the name is not available to select.",,
Very Disappointed,when I am at checkout and have $ to use - I should be able to pull up my wish list and add those books in.  This is very frustrating.  The system really needs to be easier for teachers.  We don't have time to navigate back and forth.,,
Very Satisfied,very well placed categories ans recommendations. Only feedback is that when I was on a recommendation page I liked 2 books and I clicked on 1 to add to cart but after that I couldnot go back to the same recommendation page and missed the second book I had liked. I then had to search for it again.,,
Satisfied,The representative that assisted me was very helpful to complete my order.,,
Neutral,The survey popped up before I could complete what I was doing.,,
Satisfied,Sometimes I find it hard to locate the collection deals or the book of the week sale,,
Satisfied,I am not sure that the entire process is intuitive but I am muddling through.,,
Satisfied,It would be helpful if we could see the titles of all books that are in book bundles before placing the order. I did not order the unicorn diaries bundle today because I couldn't read what titles were included.,,
Neutral,"Thank you for my latest order, we love the books! I was told that once the order ships I would receive an e-mail and could then call to have the tax removed. That has not yet happened. I also earned $10 in free books and a multipack preschool, that were both missing from the shipment.",,
Very Satisfied,I love scholastic as a parent and as a teacher,,
Satisfied,Discount code did not work chat bot told me to sign off and back on which was annoying,,
Satisfied,Keep me logged in once I log in,,
Satisfied,Finding the Book Clubs for the correct codes to enter.. I feel like I switch between screens.. Scholastic regular vs after I sign in and it connects me to his class.,,
Very Satisfied,easy and detailed site!,,
Very Satisfied,"I am a grandmother and am delighted to be able to buy books for my granddaughter and her class!    I loved Scholastic books as a child, as a mom and now as a grandma.  :)",,
Very Satisfied,A parent wrote a check to Scholastic while the rest of the parents sent cash.  I paid for everything on my debit card.  This means I need to contact the parent who wrote a check to you and ask them to rewrite it.,,
Neutral,The process to confirm an online order placed by a parent is overly complicated & redundant.,,
Very Satisfied,I am not sure that I fixed my problem.  I have not been receiving flyers this year.  I tried to update my class info again in hopes they will start coming!,,
Very Satisfied,Very fast and efficient. Love shopping here for my daughter! Lots of great options and pricing.,,
Satisfied,Super disappointed the shark book is out of stock.  I did not see any information as to when it might be available again.  Super sad 5 year old.,,
Neutral,it was a pleasure to visit the website.,,
Very Satisfied,easy,,
Satisfied,A couple search challenges. Typed in a book I knew was there and it didn't come up.,,
Satisfied,"I would love the flyers to be sent out again. It is a great way to help those purchase books, by seeing the item.",,
Neutral,It isn't easy to find my teacher's code so that I can order through her classroom.,,
Very Satisfied,students really love it when they get their books.,,
Very Satisfied,"I went in today to modify my profile for my new school & role. I wish there was a way that I could indicate that I am not a classroom teacher, I am a support specialist. I still order books to use with students, but I don't need you to send me class flyers.  Is there a way for me to do this?",,
Very Satisfied,couldn't find certain books,,
Satisfied,A little difficult to apply a coupon and use it- but I figured it out.,,
Very Disappointed,dogs are cute,,
Very Satisfied,"I find the site hard to navigate.  The collections can sometimes be helpful, but it would be nice to be able to just look through all titles at once.",,
Satisfied,"If connect to the teacher, should not require sign up process.",,
Neutral,All were good,,
Satisfied,It timed out and did not keep what I had done. I had to re-enter everything.,,
Neutral,"You have to know the code, or which specific teacher's name to order under and then you make an account?  Does not make any sense!  You cannot even browse through books on the flyer you were handed, that did not have a code printed on it!!!",,
Disappointed,"I struggling with ordering simply because there isn't enough variety.  I'd like to see more stable books offered instead of bandwagon books that don't last the test of time.  Also, the prices are so high parents don't even want me to bother with sending out class orders.  I always hope I'll find something for my classroom, but that is getting very hard to do anymore.",,
Very Satisfied,This visit to the site was to get a game plan for which books I will be purchasing within a day or so...I just didn't purchase any at this moment.,,
Very Disappointed,cant find teacher and no code,,
Neutral,I am sad that there are no longer packs of 10 books for $10.  I used these packs for all students to get a free book.,,
Satisfied,I cannot print or download the parent letter.,,
Very Satisfied,Some of the digital flyers would not load to view.,,
Very Satisfied,"Wonderful bundles and prices, thank you!",,
Very Satisfied,I kept going to book fair vs book club. but I found my way and items,,
Satisfied,"One of the sets of books that a student wanted to order is out of stock. I will check back later. It is the Who would win, rumble 6 pack. Item number 42G1 for $22.",,
Very Satisfied,Great to be able to easily enter the code from the paper classroom flyer,,
Satisfied,"I had to search around to find where to enter the class code but other than that, the visit to your site was seamless.",,
Satisfied,The price used to be 50 cents less on line. Disappointed that they are the same price now.,,
Very Satisfied,Very easy to use.,,
Satisfied,"once i find this site it's ok.  but there are like two scholastic sites that i can't differentiate and i can't find the books on one of them, but they are almost exactly alike.  i hate that.",,
